date,location,vaccine,total_vaccinations
2021-04-07,Germany,Pfizer/BioNTech,12093732
2021-04-08,Germany,Pfizer/BioNTech,12665234
2021-04-09,Germany,Pfizer/BioNTech,13155653
2021-04-10,Germany,Pfizer/BioNTech,13404085
2021-04-11,Germany,Pfizer/BioNTech,13574450
2021-04-12,Germany,Pfizer/BioNTech,13853322
2021-04-13,Germany,Pfizer/BioNTech,14285477
2021-04-14,Germany,Pfizer/BioNTech,14901784
2021-04-15,Germany,Pfizer/BioNTech,15435845
2021-04-16,Germany,Pfizer/BioNTech,15874015
2021-04-17,Germany,Pfizer/BioNTech,16098893
2021-04-18,Germany,Pfizer/BioNTech,16270951
2021-04-19,Germany,Pfizer/BioNTech,16564711
2021-04-20,Germany,Pfizer/BioNTech,16946611
2021-04-21,Germany,Pfizer/BioNTech,17400918
2021-04-22,Germany,Pfizer/BioNTech,17782707
2021-04-23,Germany,Pfizer/BioNTech,18136001
2021-04-24,Germany,Pfizer/BioNTech,18370979
2021-04-25,Germany,Pfizer/BioNTech,18558765
2021-04-26,Germany,Pfizer/BioNTech,18876590
2021-04-27,Germany,Pfizer/BioNTech,19553219
2021-04-28,Germany,Pfizer/BioNTech,20561372
2021-04-29,Germany,Pfizer/BioNTech,21385683
2021-04-30,Germany,Pfizer/BioNTech,22063983
2021-05-01,Germany,Pfizer/BioNTech,22316818
2021-05-02,Germany,Pfizer/BioNTech,22512390
2021-05-03,Germany,Pfizer/BioNTech,22830234
2021-05-04,Germany,Pfizer/BioNTech,23456492
2021-05-05,Germany,Pfizer/BioNTech,24307815
2021-05-06,Germany,Pfizer/BioNTech,25000604
2021-05-07,Germany,Pfizer/BioNTech,25588387
2021-05-08,Germany,Pfizer/BioNTech,25856077
2021-05-09,Germany,Pfizer/BioNTech,26049967
2021-05-10,Germany,Pfizer/BioNTech,26423042
2021-05-11,Germany,Pfizer/BioNTech,27248900
2021-05-12,Germany,Pfizer/BioNTech,28342173
2021-05-13,Germany,Pfizer/BioNTech,28657445
2021-05-14,Germany,Pfizer/BioNTech,29202608
2021-05-15,Germany,Pfizer/BioNTech,29481792
2021-05-16,Germany,Pfizer/BioNTech,29681549
2021-05-17,Germany,Pfizer/BioNTech,30019775
2021-05-18,Germany,Pfizer/BioNTech,30609149
2021-05-19,Germany,Pfizer/BioNTech,31413266
2021-05-20,Germany,Pfizer/BioNTech,32096800
2021-05-21,Germany,Pfizer/BioNTech,32692855
2021-05-22,Germany,Pfizer/BioNTech,32999032
2021-05-23,Germany,Pfizer/BioNTech,33191939
2021-05-24,Germany,Pfizer/BioNTech,33427589
2021-05-25,Germany,Pfizer/BioNTech,33874117
2021-05-26,Germany,Pfizer/BioNTech,34759147
2021-05-27,Germany,Pfizer/BioNTech,35498266
2021-05-28,Germany,Pfizer/BioNTech,36101775
2021-05-29,Germany,Pfizer/BioNTech,36363597
2021-05-30,Germany,Pfizer/BioNTech,36560740
2021-05-31,Germany,Pfizer/BioNTech,36927938
2021-06-01,Germany,Pfizer/BioNTech,37661448
2021-06-02,Germany,Pfizer/BioNTech,38650436
2021-06-03,Germany,Pfizer/BioNTech,39125460
2021-06-04,Germany,Pfizer/BioNTech,39711169
2021-06-05,Germany,Pfizer/BioNTech,39982263
2021-06-06,Germany,Pfizer/BioNTech,40187983
2021-06-07,Germany,Pfizer/BioNTech,40590146
2021-06-08,Germany,Pfizer/BioNTech,41437257
2021-06-09,Germany,Pfizer/BioNTech,42614225
2021-06-10,Germany,Pfizer/BioNTech,43572138
2021-06-11,Germany,Pfizer/BioNTech,44380189
2021-06-12,Germany,Pfizer/BioNTech,44665180
2021-06-13,Germany,Pfizer/BioNTech,44845041
2021-06-14,Germany,Pfizer/BioNTech,45276414
2021-06-15,Germany,Pfizer/BioNTech,46074960
2021-06-16,Germany,Pfizer/BioNTech,47177528
2021-06-17,Germany,Pfizer/BioNTech,48061035
2021-06-18,Germany,Pfizer/BioNTech,48793898
2021-06-19,Germany,Pfizer/BioNTech,49066738
2021-06-20,Germany,Pfizer/BioNTech,49245541
2021-06-21,Germany,Pfizer/BioNTech,49656851
2021-06-22,Germany,Pfizer/BioNTech,50500236
2021-06-23,Germany,Pfizer/BioNTech,51588320
2021-06-24,Germany,Pfizer/BioNTech,52384679
2021-06-25,Germany,Pfizer/BioNTech,53078112
2021-06-26,Germany,Pfizer/BioNTech,53332847
2021-06-27,Germany,Pfizer/BioNTech,53505731
2021-06-28,Germany,Pfizer/BioNTech,53906438
2021-06-29,Germany,Pfizer/BioNTech,54590673
2021-06-30,Germany,Pfizer/BioNTech,55359594
2021-07-01,Germany,Pfizer/BioNTech,56102920
2021-07-02,Germany,Pfizer/BioNTech,56753322
2021-07-03,Germany,Pfizer/BioNTech,57009126
2021-07-04,Germany,Pfizer/BioNTech,57190849
2021-07-05,Germany,Pfizer/BioNTech,57578465
2021-07-06,Germany,Pfizer/BioNTech,58196453
2021-07-07,Germany,Pfizer/BioNTech,59026267
2021-07-08,Germany,Pfizer/BioNTech,59710728
2021-07-09,Germany,Pfizer/BioNTech,60305797
2021-07-10,Germany,Pfizer/BioNTech,60534156
2021-07-11,Germany,Pfizer/BioNTech,60679938
2021-07-12,Germany,Pfizer/BioNTech,61030323
2021-07-13,Germany,Pfizer/BioNTech,61659201
2021-07-14,Germany,Pfizer/BioNTech,62491950
2021-07-15,Germany,Pfizer/BioNTech,63126343
2021-07-16,Germany,Pfizer/BioNTech,63667551
2021-07-17,Germany,Pfizer/BioNTech,63841756
2021-07-18,Germany,Pfizer/BioNTech,63977440
2021-07-19,Germany,Pfizer/BioNTech,64273686
2021-07-20,Germany,Pfizer/BioNTech,64794671
2021-07-21,Germany,Pfizer/BioNTech,65465895
2021-07-22,Germany,Pfizer/BioNTech,66010256
2021-07-23,Germany,Pfizer/BioNTech,66499589
2021-07-24,Germany,Pfizer/BioNTech,66653046
2021-07-25,Germany,Pfizer/BioNTech,66736847
2021-07-26,Germany,Pfizer/BioNTech,67010386
2021-07-27,Germany,Pfizer/BioNTech,67484187
2021-07-28,Germany,Pfizer/BioNTech,68085335
2021-07-29,Germany,Pfizer/BioNTech,68582089
2021-07-30,Germany,Pfizer/BioNTech,68998296
2021-07-31,Germany,Pfizer/BioNTech,69138454
2021-08-01,Germany,Pfizer/BioNTech,69221796
2021-08-02,Germany,Pfizer/BioNTech,69459378
2021-08-03,Germany,Pfizer/BioNTech,69854446
2021-08-04,Germany,Pfizer/BioNTech,70361544
2021-08-05,Germany,Pfizer/BioNTech,70813243
2021-08-06,Germany,Pfizer/BioNTech,71192527
2021-08-07,Germany,Pfizer/BioNTech,71330013
2021-08-08,Germany,Pfizer/BioNTech,71419153
2021-08-09,Germany,Pfizer/BioNTech,71655382
2021-08-10,Germany,Pfizer/BioNTech,72019513
2021-08-11,Germany,Pfizer/BioNTech,72484612
2021-08-12,Germany,Pfizer/BioNTech,72887663
2021-08-13,Germany,Pfizer/BioNTech,73239698
2021-08-14,Germany,Pfizer/BioNTech,73384113
2021-08-15,Germany,Pfizer/BioNTech,73472493
2021-08-16,Germany,Pfizer/BioNTech,73685138
2021-08-17,Germany,Pfizer/BioNTech,73990488
2021-08-18,Germany,Pfizer/BioNTech,74350910
2021-08-19,Germany,Pfizer/BioNTech,74617472
2020-12-27,Germany,Moderna,2
2020-12-28,Germany,Moderna,2
2020-12-29,Germany,Moderna,2
2020-12-30,Germany,Moderna,2
2020-12-31,Germany,Moderna,2
2021-01-01,Germany,Moderna,7
2021-01-02,Germany,Moderna,7
2021-01-03,Germany,Moderna,9
2021-01-04,Germany,Moderna,10
2021-01-05,Germany,Moderna,11
2021-01-06,Germany,Moderna,17
2021-01-07,Germany,Moderna,21
2021-01-08,Germany,Moderna,72
2021-01-09,Germany,Moderna,75
2021-01-10,Germany,Moderna,83
2021-01-11,Germany,Moderna,97
2021-01-12,Germany,Moderna,112
2021-01-13,Germany,Moderna,1280
2021-01-14,Germany,Moderna,6429
2021-01-15,Germany,Moderna,11695
2021-01-16,Germany,Moderna,13374
2021-01-17,Germany,Moderna,14635
2021-01-18,Germany,Moderna,18776
2021-01-19,Germany,Moderna,22443
2021-01-20,Germany,Moderna,25184
2021-01-21,Germany,Moderna,27924
2021-01-22,Germany,Moderna,30109
2021-01-23,Germany,Moderna,30462
2021-01-24,Germany,Moderna,30660
2021-01-25,Germany,Moderna,32076
2021-01-26,Germany,Moderna,33510
2021-01-27,Germany,Moderna,35296
2021-01-28,Germany,Moderna,36924
2021-01-29,Germany,Moderna,38404
2021-01-30,Germany,Moderna,39284
2021-01-31,Germany,Moderna,39660
2021-02-01,Germany,Moderna,41868
2021-02-02,Germany,Moderna,44930
2021-02-03,Germany,Moderna,51257
2021-02-04,Germany,Moderna,57089
2021-02-05,Germany,Moderna,63537
2021-02-06,Germany,Moderna,66163
2021-02-07,Germany,Moderna,68489
2021-02-08,Germany,Moderna,72311
2021-02-09,Germany,Moderna,75745
2021-02-10,Germany,Moderna,79980
2021-02-11,Germany,Moderna,87244
2021-02-12,Germany,Moderna,96542
2021-02-13,Germany,Moderna,99799
2021-02-14,Germany,Moderna,102273
2021-02-15,Germany,Moderna,107540
2021-02-16,Germany,Moderna,113691
2021-02-17,Germany,Moderna,121689
2021-02-18,Germany,Moderna,129912
2021-02-19,Germany,Moderna,139873
2021-02-20,Germany,Moderna,144337
2021-02-21,Germany,Moderna,147978
2021-02-22,Germany,Moderna,156921
2021-02-23,Germany,Moderna,164130
2021-02-24,Germany,Moderna,171740
2021-02-25,Germany,Moderna,178498
2021-02-26,Germany,Moderna,187331
2021-02-27,Germany,Moderna,191413
2021-02-28,Germany,Moderna,195368
2021-03-01,Germany,Moderna,204990
2021-03-02,Germany,Moderna,214984
2021-03-03,Germany,Moderna,229932
2021-03-04,Germany,Moderna,244397
2021-03-05,Germany,Moderna,257761
2021-03-06,Germany,Moderna,266199
2021-03-07,Germany,Moderna,272853
2021-03-08,Germany,Moderna,283809
2021-03-09,Germany,Moderna,296591
2021-03-10,Germany,Moderna,308769
2021-03-11,Germany,Moderna,322486
2021-03-12,Germany,Moderna,339779
2021-03-13,Germany,Moderna,349346
2021-03-14,Germany,Moderna,354858
2021-03-15,Germany,Moderna,367544
2021-03-16,Germany,Moderna,378794
2021-03-17,Germany,Moderna,396784
2021-03-18,Germany,Moderna,414948
2021-03-19,Germany,Moderna,435735
2021-03-20,Germany,Moderna,451023
2021-03-21,Germany,Moderna,460220
2021-03-22,Germany,Moderna,484029
2021-03-23,Germany,Moderna,503760
2021-03-24,Germany,Moderna,536789
2021-03-25,Germany,Moderna,564450
2021-03-26,Germany,Moderna,601601
2021-03-27,Germany,Moderna,629220
2021-03-28,Germany,Moderna,647723
2021-03-29,Germany,Moderna,672719
2021-03-30,Germany,Moderna,697144
2021-03-31,Germany,Moderna,733187
2021-04-01,Germany,Moderna,765634
2021-04-02,Germany,Moderna,780018
2021-04-03,Germany,Moderna,795814
2021-04-04,Germany,Moderna,805876
2021-04-05,Germany,Moderna,823736
2021-04-06,Germany,Moderna,855926
2021-04-07,Germany,Moderna,892967
2021-04-08,Germany,Moderna,928600
2021-04-09,Germany,Moderna,965192
2021-04-10,Germany,Moderna,988415
2021-04-11,Germany,Moderna,1007081
2021-04-12,Germany,Moderna,1036313
2021-04-13,Germany,Moderna,1063637
2021-04-14,Germany,Moderna,1097184
2021-04-15,Germany,Moderna,1133286
2021-04-16,Germany,Moderna,1165774
2021-04-17,Germany,Moderna,1188459
2021-04-18,Germany,Moderna,1203848
2021-04-19,Germany,Moderna,1236782
2021-04-20,Germany,Moderna,1276027
2021-04-21,Germany,Moderna,1317740
2021-04-22,Germany,Moderna,1361416
2021-04-23,Germany,Moderna,1405006
2021-04-24,Germany,Moderna,1454340
2021-04-25,Germany,Moderna,1488012
2021-04-26,Germany,Moderna,1530511
2021-04-27,Germany,Moderna,1582012
2021-04-28,Germany,Moderna,1642738
2021-04-29,Germany,Moderna,1706662
2021-04-30,Germany,Moderna,1763950
2021-05-01,Germany,Moderna,1805440
2021-05-02,Germany,Moderna,1842952
2021-05-03,Germany,Moderna,1913526
2021-05-04,Germany,Moderna,1976994
2021-05-05,Germany,Moderna,2055913
2021-05-06,Germany,Moderna,2148029
2021-05-07,Germany,Moderna,2234694
2021-05-08,Germany,Moderna,2306467
2021-05-09,Germany,Moderna,2363024
2021-05-10,Germany,Moderna,2444812
2021-05-11,Germany,Moderna,2524748
2021-05-12,Germany,Moderna,2616397
2021-05-13,Germany,Moderna,2683128
2021-05-14,Germany,Moderna,2747998
2021-05-15,Germany,Moderna,2808378
2021-05-16,Germany,Moderna,2861104
2021-05-17,Germany,Moderna,2946747
2021-05-18,Germany,Moderna,3047822
2021-05-19,Germany,Moderna,3147895
2021-05-20,Germany,Moderna,3244330
2021-05-21,Germany,Moderna,3330010
2021-05-22,Germany,Moderna,3399513
2021-05-23,Germany,Moderna,3458901
2021-05-24,Germany,Moderna,3520427
2021-05-25,Germany,Moderna,3600166
2021-05-26,Germany,Moderna,3682515
2021-05-27,Germany,Moderna,3771443
2021-05-28,Germany,Moderna,3857591
2021-05-29,Germany,Moderna,3920182
2021-05-30,Germany,Moderna,3967194
2021-05-31,Germany,Moderna,4034622
2021-06-01,Germany,Moderna,4114425
2021-06-02,Germany,Moderna,4186999
2021-06-03,Germany,Moderna,4251307
2021-06-04,Germany,Moderna,4322551
2021-06-05,Germany,Moderna,4389525
2021-06-06,Germany,Moderna,4430521
2021-06-07,Germany,Moderna,4515587
2021-06-08,Germany,Moderna,4590963
2021-06-09,Germany,Moderna,4678202
2021-06-10,Germany,Moderna,4768009
2021-06-11,Germany,Moderna,4857050
2021-06-12,Germany,Moderna,4928966
2021-06-13,Germany,Moderna,4992468
2021-06-14,Germany,Moderna,5093813
2021-06-15,Germany,Moderna,5198465
2021-06-16,Germany,Moderna,5304998
2021-06-17,Germany,Moderna,5408586
2021-06-18,Germany,Moderna,5503031
2021-06-19,Germany,Moderna,5585107
2021-06-20,Germany,Moderna,5656701
2021-06-21,Germany,Moderna,5754379
2021-06-22,Germany,Moderna,5850415
2021-06-23,Germany,Moderna,5946446
2021-06-24,Germany,Moderna,6033788
2021-06-25,Germany,Moderna,6110379
2021-06-26,Germany,Moderna,6179449
2021-06-27,Germany,Moderna,6237562
2021-06-28,Germany,Moderna,6327604
2021-06-29,Germany,Moderna,6420565
2021-06-30,Germany,Moderna,6514713
2021-07-01,Germany,Moderna,6598241
2021-07-02,Germany,Moderna,6693232
2021-07-03,Germany,Moderna,6772565
2021-07-04,Germany,Moderna,6840722
2021-07-05,Germany,Moderna,6935258
2021-07-06,Germany,Moderna,7034571
2021-07-07,Germany,Moderna,7130546
2021-07-08,Germany,Moderna,7232069
2021-07-09,Germany,Moderna,7330958
2021-07-10,Germany,Moderna,7415157
2021-07-11,Germany,Moderna,7478709
2021-07-12,Germany,Moderna,7558199
2021-07-13,Germany,Moderna,7636086
2021-07-14,Germany,Moderna,7708177
2021-07-15,Germany,Moderna,7779328
2021-07-16,Germany,Moderna,7843805
2021-07-17,Germany,Moderna,7907029
2021-07-18,Germany,Moderna,7948595
2021-07-19,Germany,Moderna,7999124
2021-07-20,Germany,Moderna,8047530
2021-07-21,Germany,Moderna,8093588
2021-07-22,Germany,Moderna,8137027
2021-07-23,Germany,Moderna,8179319
2021-07-24,Germany,Moderna,8216785
2021-07-25,Germany,Moderna,8248229
2021-07-26,Germany,Moderna,8288015
2021-07-27,Germany,Moderna,8330158
2021-07-28,Germany,Moderna,8377029
2021-07-29,Germany,Moderna,8420487
2021-07-30,Germany,Moderna,8465736
2021-07-31,Germany,Moderna,8501589
2021-08-01,Germany,Moderna,8526655
2021-08-02,Germany,Moderna,8560037
2021-08-03,Germany,Moderna,8598356
2021-08-04,Germany,Moderna,8634628
2021-08-05,Germany,Moderna,8674277
2021-08-06,Germany,Moderna,8710087
2021-08-07,Germany,Moderna,8741916
2021-08-08,Germany,Moderna,8763668
2021-08-09,Germany,Moderna,8805101
2021-08-10,Germany,Moderna,8847723
2021-08-11,Germany,Moderna,8894705
2021-08-12,Germany,Moderna,8932962
2021-08-13,Germany,Moderna,8974028
2021-08-14,Germany,Moderna,9005739
2021-08-15,Germany,Moderna,9026826
2021-08-16,Germany,Moderna,9059831
2021-08-17,Germany,Moderna,9088904
2021-08-18,Germany,Moderna,9118476
2021-08-19,Germany,Moderna,9142427
2020-12-27,Germany,Oxford/AstraZeneca,0
2020-12-28,Germany,Oxford/AstraZeneca,0
2020-12-29,Germany,Oxford/AstraZeneca,1
2020-12-30,Germany,Oxford/AstraZeneca,1
2020-12-31,Germany,Oxford/AstraZeneca,1
2021-01-01,Germany,Oxford/AstraZeneca,4
2021-01-02,Germany,Oxford/AstraZeneca,4
2021-01-03,Germany,Oxford/AstraZeneca,4
2021-01-04,Germany,Oxford/AstraZeneca,4
2021-01-05,Germany,Oxford/AstraZeneca,4
2021-01-06,Germany,Oxford/AstraZeneca,7
2021-01-07,Germany,Oxford/AstraZeneca,9
2021-01-08,Germany,Oxford/AstraZeneca,10
2021-01-09,Germany,Oxford/AstraZeneca,11
2021-01-10,Germany,Oxford/AstraZeneca,11
2021-01-11,Germany,Oxford/AstraZeneca,13
2021-01-12,Germany,Oxford/AstraZeneca,14
2021-01-13,Germany,Oxford/AstraZeneca,14
2021-01-14,Germany,Oxford/AstraZeneca,14
2021-01-15,Germany,Oxford/AstraZeneca,19
2021-01-16,Germany,Oxford/AstraZeneca,20
2021-01-17,Germany,Oxford/AstraZeneca,21
2021-01-18,Germany,Oxford/AstraZeneca,22
2021-01-19,Germany,Oxford/AstraZeneca,31
2021-01-20,Germany,Oxford/AstraZeneca,34
2021-01-21,Germany,Oxford/AstraZeneca,35
2021-01-22,Germany,Oxford/AstraZeneca,43
2021-01-23,Germany,Oxford/AstraZeneca,46
2021-01-24,Germany,Oxford/AstraZeneca,50
2021-01-25,Germany,Oxford/AstraZeneca,53
2021-01-26,Germany,Oxford/AstraZeneca,60
2021-01-27,Germany,Oxford/AstraZeneca,68
2021-01-28,Germany,Oxford/AstraZeneca,71
2021-01-29,Germany,Oxford/AstraZeneca,78
2021-01-30,Germany,Oxford/AstraZeneca,80
2021-01-31,Germany,Oxford/AstraZeneca,85
2021-02-01,Germany,Oxford/AstraZeneca,136
2021-02-02,Germany,Oxford/AstraZeneca,149
2021-02-03,Germany,Oxford/AstraZeneca,175
2021-02-04,Germany,Oxford/AstraZeneca,180
2021-02-05,Germany,Oxford/AstraZeneca,188
2021-02-06,Germany,Oxford/AstraZeneca,189
2021-02-07,Germany,Oxford/AstraZeneca,191
2021-02-08,Germany,Oxford/AstraZeneca,219
2021-02-09,Germany,Oxford/AstraZeneca,332
2021-02-10,Germany,Oxford/AstraZeneca,8668
2021-02-11,Germany,Oxford/AstraZeneca,24984
2021-02-12,Germany,Oxford/AstraZeneca,39234
2021-02-13,Germany,Oxford/AstraZeneca,52582
2021-02-14,Germany,Oxford/AstraZeneca,59824
2021-02-15,Germany,Oxford/AstraZeneca,75281
2021-02-16,Germany,Oxford/AstraZeneca,94873
2021-02-17,Germany,Oxford/AstraZeneca,115628
2021-02-18,Germany,Oxford/AstraZeneca,139472
2021-02-19,Germany,Oxford/AstraZeneca,166894
2021-02-20,Germany,Oxford/AstraZeneca,188091
2021-02-21,Germany,Oxford/AstraZeneca,203706
2021-02-22,Germany,Oxford/AstraZeneca,227323
2021-02-23,Germany,Oxford/AstraZeneca,256176
2021-02-24,Germany,Oxford/AstraZeneca,292821
2021-02-25,Germany,Oxford/AstraZeneca,343671
2021-02-26,Germany,Oxford/AstraZeneca,406488
2021-02-27,Germany,Oxford/AstraZeneca,457468
2021-02-28,Germany,Oxford/AstraZeneca,495067
2021-03-01,Germany,Oxford/AstraZeneca,553395
2021-03-02,Germany,Oxford/AstraZeneca,622212
2021-03-03,Germany,Oxford/AstraZeneca,696560
2021-03-04,Germany,Oxford/AstraZeneca,785683
2021-03-05,Germany,Oxford/AstraZeneca,898648
2021-03-06,Germany,Oxford/AstraZeneca,982653
2021-03-07,Germany,Oxford/AstraZeneca,1043796
2021-03-08,Germany,Oxford/AstraZeneca,1136360
2021-03-09,Germany,Oxford/AstraZeneca,1235684
2021-03-10,Germany,Oxford/AstraZeneca,1352793
2021-03-11,Germany,Oxford/AstraZeneca,1475648
2021-03-12,Germany,Oxford/AstraZeneca,1632970
2021-03-13,Germany,Oxford/AstraZeneca,1747946
2021-03-14,Germany,Oxford/AstraZeneca,1824353
2021-03-15,Germany,Oxford/AstraZeneca,1906498
2021-03-16,Germany,Oxford/AstraZeneca,1907515
2021-03-17,Germany,Oxford/AstraZeneca,1908260
2021-03-18,Germany,Oxford/AstraZeneca,1909418
2021-03-19,Germany,Oxford/AstraZeneca,1947981
2021-03-20,Germany,Oxford/AstraZeneca,2017502
2021-03-21,Germany,Oxford/AstraZeneca,2070616
2021-03-22,Germany,Oxford/AstraZeneca,2149567
2021-03-23,Germany,Oxford/AstraZeneca,2249105
2021-03-24,Germany,Oxford/AstraZeneca,2354972
2021-03-25,Germany,Oxford/AstraZeneca,2474445
2021-03-26,Germany,Oxford/AstraZeneca,2611554
2021-03-27,Germany,Oxford/AstraZeneca,2715614
2021-03-28,Germany,Oxford/AstraZeneca,2778172
2021-03-29,Germany,Oxford/AstraZeneca,2870124
2021-03-30,Germany,Oxford/AstraZeneca,2956032
2021-03-31,Germany,Oxford/AstraZeneca,3008731
2021-04-01,Germany,Oxford/AstraZeneca,3064054
2021-04-02,Germany,Oxford/AstraZeneca,3095855
2021-04-03,Germany,Oxford/AstraZeneca,3137786
2021-04-04,Germany,Oxford/AstraZeneca,3188472
2021-04-05,Germany,Oxford/AstraZeneca,3253474
2021-04-06,Germany,Oxford/AstraZeneca,3340080
2021-04-07,Germany,Oxford/AstraZeneca,3428850
2021-04-08,Germany,Oxford/AstraZeneca,3520560
2021-04-09,Germany,Oxford/AstraZeneca,3625699
2021-04-10,Germany,Oxford/AstraZeneca,3726570
2021-04-11,Germany,Oxford/AstraZeneca,3801451
2021-04-12,Germany,Oxford/AstraZeneca,3911923
2021-04-13,Germany,Oxford/AstraZeneca,4029271
2021-04-14,Germany,Oxford/AstraZeneca,4154241
2021-04-15,Germany,Oxford/AstraZeneca,4264256
2021-04-16,Germany,Oxford/AstraZeneca,4390103
